firstname,lastname,city,year,ethnicity
Brooks,Mitchell,LOYALTON,2010,white
Ernest,Teague,Loyalton,2012,white
Brooks,Mitchell,Loyalton,2012,white
Betty,Ferguson,Loyalton,2012,white
Brooks,Mitchell,Loyalton,2016,white
Nancy,Rogers,Loyalton,2016,white
Krystin,Gallegos,Loyalton,2016,hispanic
Sarah,Jackson,Loyalton,2018,white
Brooks,Mitchell,Loyalton,2018,white
Joy,Markum,Loyalton,2018,white
Darlene,Riede,Loyalton,2018,hispanic
Sarah,Jackson,Loyalton,2022,white
Dorie,Gayner,Loyalton,2022,white
Jerry,Gerow,Loyalton,2022,white
Salvador,Alatorre,Lynwood,2011,hispanic
Aide,Castro,Lynwood,2011,hispanic
Jose,Solache,Lynwood,2013,hispanic
Edwin,Hernandez,Lynwood,2013,hispanic
Maria,Santillan-Beas,Lynwood,2013,hispanic
Salvador,Alatorre,Lynwood,2015,hispanic
Aide,Castro,Lynwood,2015,hispanic
Jorge,Casanova,Lynwood,2018,hispanic
Marisela,Santana,Lynwood,2018,hispanic
Jose,Solache,Lynwood,2018,hispanic
Oscar,Flores,Lynwood,2020,hispanic
Rita,Soto,Lynwood,2020,hispanic
Jose,Solache,Lynwood,2022,hispanic
Gabriela,Camacho,Lynwood,2022,hispanic
Juan,Muñoz-Guevara,Lynwood,2022,hispanic
Sally,Bomprezzi,MADERA,2010,white
Brett,Frazier,MADERA,2010,white
Gary,Svanda,MADERA,2010,white
Cece,Gallegos,Madera,2016,hispanic
Jose,Rodriguez,Madera,2016,hispanic
Derek,Robinson,Madera,2016,black
Donald,Holley,Madera,2016,white
Cece,Gallegos,Madera,2018,hispanic
Steve,Montes,Madera,2018,hispanic
Santos,Garcia,Madera,2018,hispanic
Anita,Evans,Madera,2020,white
Artemio,Villegas,Madera,2020,hispanic
Jose,Rodriguez,Madera,2020,hispanic
Elsa,Mejia,Madera,2021,hispanic
Lou,La Monte,MALIBU,2010,white
Laura,Rosenthal,MALIBU,2010,white
Skylar,Peak,Malibu,2012,white
Joan,House,Malibu,2012,white
John,Sibert,Malibu,2012,white
Laura,Rosenthal,Malibu,2014,white
Lou,La Monte,Malibu,2014,white
Rick,Mullen,Malibu,2016,white
Jefferson,Wagner,Malibu,2016,white
Skylar,Peak,Malibu,2016,white
Karen,Farrer,Malibu,2018,white
Mikke,Pierson,Malibu,2018,white
Paul,Grisanti,Malibu,2020,white
Bruce,Silverstein,Malibu,2020,white
Steve,Uhring,Malibu,2020,white
Doug,Stewart,Malibu,2022,white
Marianne,Riggins,Malibu,2022,white
John,Eastman,MAMMOTH LAKES,2010,white
Matthew,Lehman,MAMMOTH LAKES,2010,white
Rick,Wood,MAMMOTH LAKES,2010,white
John,Wentworth,Mammoth Lakes,2014,white
Shields,Richardson,Mammoth Lakes,2014,black
Colin,Fernie,Mammoth Lakes,2014,white
Lynda,Salcido,Mammoth Lakes,2018,hispanic
Kirk,Stapp,Mammoth Lakes,2018,white
John,Wentworth,Mammoth Lakes,2018,white
Sarah,Rea,Mammoth Lakes,2020,white
Bill,Sauser,Mammoth Lakes,2020,white
Chris,Bubser,Mammoth Lakes,2022,white
John,Wentworth,Mammoth Lakes,2022,white
Amanda,Rice,Mammoth Lakes,2022,white
David,Lesser,Manhattan Beach,2011,white
Amy,Howorth,Manhattan Beach,2011,white
Wayne,Powell,Manhattan Beach,2013,white
Mark,Burton,Manhattan Beach,2013,white
Tony,D'Errico,Manhattan Beach,2013,white
David,Lesser,Manhattan Beach,2015,white
Amy,Howorth,Manhattan Beach,2015,white
Nancy,Hersman,Manhattan Beach,2017,white
Richard,Montgomery,Manhattan Beach,2017,white
Steve,Napolitano,Manhattan Beach,2017,white
Suzanne,Hadley,Manhattan Beach,2019,white
Hildy,Stern,Manhattan Beach,2019,white
Joe,Franklin,Manhattan Beach,2020,white
Richard,Montgomery,Manhattan Beach,2020,white
Steve,Napolitano,Manhattan Beach,2020,white
Amy,Howorth,Manhattan Beach,2022,white
David,Lesser,Manhattan Beach,2022,white
John,Harris,MANTECA,2010,black
Vincent,"Hernandez, II",MANTECA,2010,hispanic
Debby,Moorhead,Manteca,2012,white
Steve,De Brum,Manteca,2012,white
Mike,Morowit,Manteca,2014,white
Rich,Silverman,Manteca,2014,white
Gary,Singh,Manteca,2016,asian
Debby,Moorhead,Manteca,2016,white
David,Breitenbucher,Manteca,2018,white
Jose,Nuno,Manteca,2018,hispanic
Charlie,Halford,Manteca,2020,white
Gary,Singh,Manteca,2020,asian
David,Breitenbucher,Manteca,2022,white
Mike,Morowit,Manteca,2022,white
Virgil,Bell,MARICOPA,2010,white
Cynthia,Tonkin,MARICOPA,2010,white
John,Wilke III,Maricopa,2012,white
John,Horn,Maricopa,2012,black
John,Crump Jr.,Maricopa,2012,white
Cynthia,Tonkin,Maricopa,2014,white
Gary,Mock,Maricopa,2016,white
John,"Wilke, III",Maricopa,2016,white
John,"Crump, Jr.",Maricopa,2016,white
Virgil,Bell,Maricopa,2018,white
Cynthia,Tonkin,Maricopa,2018,white
Gary,Mock,Maricopa,2020,white
John,"Crump, Jr.",Maricopa,2020,white
Cory,Morse,Maricopa,2022,white
Virgil,Bell,Maricopa,2022,white
James,Owens,Maricopa,2022,white
Nancy,Amadeo,MARINA,2010,black
David,Brown,MARINA,2010,black
Gail,Morton,Marina,2012,white
Frank,O'Connell,Marina,2012,white
Nancy,Amadeo,Marina,2014,black
David,Brown,Marina,2014,black
Frank,O'Connell,Marina,2016,white
Gail,Morton,Marina,2016,white
Lisa,Berkley,Marina,2018,white
Adam,Urrutia,Marina,2018,hispanic
Kathy,Biala,Marina,2020,white
Cristina,Dirksen,Marina,2020,white
Brian,McCarthy,Marina,2022,white
"Elisabeth""Liesbeth""",Visscher,Marina,2022,white
Lara,DeLaney,MARTINEZ,2010,white
Michael,Menesini,MARTINEZ,2010,white
Anamarie,Farias,Martinez,2012,hispanic
Mark,Ross,Martinez,2012,white
Lara,Delaney,Martinez,2014,white
Debbie,McKillop,Martinez,2014,white
Mark,Ross,Martinez,2016,white
Noralea,Gipner,Martinez,2016,white
Lara,Delaney,Martinez,2018,white
Debbie,Mckillop,Martinez,2018,white
Brianne,Zorn,Martinez,2020,white
Mark,Ross,Martinez,2020,white
Jay,Howard,Martinez,2022,white
Debbie,McKillop,Martinez,2022,white
Ricky,Samayoa,MARYSVILLE,2010,hispanic
Dale,Whitmore,MARYSVILLE,2010,white
Michael,Selvidge,Marysville,2012,white
Jim,Kitchen,Marysville,2012,white
Christopher,Pedigo,Marysville,2014,white
Dale,Whitmore,Marysville,2014,white
Stephanie,McKenzie,Marysville,2016,white
Billy,Simmons,Marysville,2016,white
Bruce,Buttacavoli,Marysville,2018,white
Brad,Hudson,Marysville,2018,white
John,Belza,Marysville,2020,white
Stuart,Gilchrist,Marysville,2020,white
Bruce,Buttacavoli,Marysville,2022,white
Brad,Hudson,Marysville,2022,white
Veronica,Guardado,Maywood,2011,hispanic
Oscar,Magana,Maywood,2011,hispanic
Ricardo,Villarreal,Maywood,2013,hispanic
Thomas,Martin,Maywood,2013,white
Eduardo,De La Riva,Maywood,2013,hispanic
Sergio,Calderon,Maywood,2015,hispanic
Ramon,Medina,Maywood,2015,hispanic
Eduardo,De La Riva,Maywood,2018,hispanic
Ricardo,Lara,Maywood,2018,hispanic
Heber,Marquez,Maywood,2018,hispanic
Frank,Garcia,Maywood,2020,hispanic
Jessica,Torres,Maywood,2020,hispanic
Eduardo,De La Riva,Maywood,2022,hispanic
Mayra,Aguiluz,Maywood,2022,hispanic
Heber,Marquez,Maywood,2022,hispanic
Russell,Coker,MCFARLAND,2010,white
Vidal,Santillano,MCFARLAND,2010,hispanic
Rafael,Melendez,McFarland,2012,hispanic
Stephen,McFarland,McFarland,2012,white
Vidal,Santillan,McFarland,2014,hispanic
J.Russell,Coker,McFarland,2014,white
Stephen,McFarland,McFarland,2016,white
Rafael,Melendez,McFarland,2016,hispanic
Sally,Gonzalez,McFarland,2018,hispanic
Maria,Perez,McFarland,2018,hispanic
Saul,Ayon,McFarland,2020,hispanic
Ricardo,Cano,McFarland,2020,hispanic
Eric,Rodriguez,McFarland,2020,hispanic
Amador,Ayon,McFarland,2022,hispanic
Anita,Gonzalez,McFarland,2022,hispanic
Joseph,Amador,MENDOTA,2010,hispanic
S.,Capuchino,MENDOTA,2010,white
Robert,Silva,MENDOTA,2010,hispanic
Sergio,Valdez,Mendota,2012,hispanic
Joseph,Riofrio,Mendota,2012,white
Rolando,Castro,Mendota,2014,hispanic
Joseph,Amador,Mendota,2014,hispanic
Robert,Silva,Mendota,2014,hispanic
Victor,Martinez,Mendota,2016,hispanic
Oscar,Rosales,Mendota,2016,hispanic
Rolando,Castro,Mendota,2018,hispanic
Jesse,Mendoza,Mendota,2018,hispanic
Robert,Silva,Mendota,2018,hispanic
Jose,Alonso,Mendota,2020,hispanic
Oscar,Rosales,Mendota,2020,hispanic
Joseph,Riofrio,Mendota,2020,white
Victor,Martinez,Mendota,2022,hispanic
Libertad,Lopez,Mendota,2022,hispanic
Rolando,Castro,Mendota,2022,hispanic
Thomas,Fuhrman,MENIFEE,2010,white
John,Denver,MENIFEE,2010,white
Greg,August,Menifee,2012,white
Wallace,Edgerton,Menifee,2012,white
Matthew,Liesemeyer,Menifee,2014,white
John,Denver,Menifee,2014,white
Lesa,Sobek,Menifee,2015,white
Greg,August,Menifee,2016,white
Lesa,Sobek,Menifee,2016,white
Matthew,Liesmeyer,Menifee,2018,white
Dean,Deines,Menifee,2018,white
Lesa,Sobek,Menifee,2020,white
Ricky,Estrada,Menifee,2022,hispanic
Richard,Cline,MENLO PARK,2010,white
Kirsten,Keith,MENLO PARK,2010,white
Peter,Ohtaki,MENLO PARK,2010,white
Ray,Mueller,Menlo Park,2012,white
Catherine,Carlton,Menlo Park,2012,white
Peter,Ohtaki,Menlo Park,2014,white
Kirsten,Keith,Menlo Park,2014,white
Rich,Cline,Menlo Park,2014,white
Ray,Mueller,Menlo Park,2016,white
Catherine,Carlton,Menlo Park,2016,white
Cecilia,Taylor,Menlo Park,2018,white
Drew,Combs,Menlo Park,2018,black
Betsy,Nash,Menlo Park,2018,white
Jen,Wolosin,Menlo Park,2020,white
Ray,Mueller,Menlo Park,2020,white
Cecilia,Taylor,Menlo Park,2022,white
Drew,Combs,Menlo Park,2022,black
Betsy,Nash,Menlo Park,2022,white
Noah,Lor,Merced,2011,asian
Mark,Dossetti,Merced,2011,white
Mike,Murphy,Merced,2011,white
Josh,Pedrozo,Merced,2013,hispanic
Kevin,Blake,Merced,2013,white
Michael,Belluomini,Merced,2013,white
Anthony,Martinez,Merced,2016,hispanic
Jill,McLeod,Merced,2016,white
Matthew,Serratto,Merced,2016,white
Fernando,Echevarria,Merced,2018,hispanic
Kevin,Blake,Merced,2018,white
Delray,Shelton,Merced,2018,white
Jesse,Ornelas,Merced,2020,hispanic
Bertha,Perez,Merced,2020,hispanic
Sarah,Boyle,Merced,2020,white
Ronnie,De Anda,Merced,2022,white
Shane,Smith,Merced,2022,black
Fue,Xiong,Merced,2022,asian
Bob,Nunez,Milipitas,2016,hispanic
Anthony,Phan,Milipitas,2016,asian
John,McCauley,Mill Valley,2013,white
Jessica,Jackson,Mill Valley,2013,white
Stephanie,Moulton-Peters,Mill Valley,2015,white
Jim,Wickham,Mill Valley,2015,white
Sashi,McEntee,Mill Valley,2015,white
Urban,Carmel,Mill Valley,2020,white
Tricia,Ossa,Mill Valley,2020,white
Jim,Wickham,Mill Valley,2020,white
Sashi,Mcentee,Mill Valley,2020,white
Caroline,Joachim,Mill Valley,2023,white
Wayne,Lee,Millbrae,2011,asian
Marge,Colapietro,Millbrae,2011,white
Robert,Gottschalk,Millbrae,2011,white
Anne,Oliva,Millbrae,2013,hispanic
Reuben,Holober,Millbrae,2013,white
Gina,Papan,Millbrae,2015,white
Ann,Schneider,Millbrae,2015,white
Wayne,Lee,Millbrae,2015,asian
Reuben,Holober,Millbrae,2018,white
Anne,Oliva,Millbrae,2018,hispanic
Anders,Fung,Millbrae,2020,asian
Gina,Papan,Millbrae,2020,white
Ann,Schneider,Millbrae,2020,white
Angelina,Cahalan,Millbrae,2022,white
Christine,Boles,Millbrae,2022,white
Maurice,Goodman,Millbrae,2022,white
Armando,Gomez,MILPITAS,2010,hispanic
Althea,Polanski,MILPITAS,2010,white
Carmen,Montano,Milpitas,2012,hispanic
Debbie,Giordano,Milpitas,2012,white
Marsha,Grilli,Milpitas,2014,white
Garry,Barbadillo,Milpitas,2014,hispanic
Karina,Dominguez,Milpitas,2018,hispanic
Carmen,Montano,Milpitas,2018,hispanic
Evelyn,Chua,Milpitas,2020,asian
Anthony,Phan,Milpitas,2020,asian
Hon,Lien,Milpitas,2022,asian
Garry,Barbadillo,Milpitas,2022,hispanic
David,Leckness,MISSION VIEJO,2010,white
Patricia,Kelley,MISSION VIEJO,2010,white
Rhonda,Reardon,MISSION VIEJO,2010,white
Frank,Ury,Mission Viejo,2012,white
Cathy,Schlicht,Mission Viejo,2012,white
Greg,Raths,Mission Viejo,2014,white
Ed,Sachs,Mission Viejo,2014,white
Wendy,Bucknum,Mission Viejo,2014,white
Patricia,Kelley,Mission Viejo,2016,white
Brian,Goodell,Mission Viejo,2016,white
Wendy,Bucknum,Mission Viejo,2018,white
Greg,Raths,Mission Viejo,2018,white
Ed,Sachs,Mission Viejo,2018,white
Brian,Goodell,Mission Viejo,2020,white
Patricia,Kelley,Mission Viejo,2020,white
Robert,Ruesch,Mission Viejo,2022,white
Brian,Goodell,Mission Viejo,2022,white
Cynthia,Vasquez,Mission Viejo,2022,hispanic
Patricia,Kelley,Mission Viejo,2022,white
Wendy,Bucknum,Mission Viejo,2022,white
John,Gunderson,Modesto,2011,white
Dave,Lopez,Modesto,2011,hispanic
Stephanie,Burnside,Modesto,2011,white
Dave,"Cogdill, Jr.",Modesto,2011,white
Tony,Madrigal,Modesto,2013,hispanic
Bill,Zoslocki,Modesto,2013,white
Jenny,Ketchum Kenoyer,Modesto,2013,white
Mani,Grewal,Modesto,2015,asian
Kristi,Ah You,Modesto,2015,white
Doug,"Ridenour, Sr.",Modesto,2015,white
Tony,Madrigal,Modesto,2017,hispanic
Bill,Zoslocki,Modesto,2017,white
Jenny,Kenoyer,Modesto,2017,white
Rosa,Escutia-Braaton,Modesto,2020,hispanic
Chris,Ricci,Modesto,2020,white
David,Wright,Modesto,2020,white
Eric,Alvarez,Modesto,2022,hispanic
Nick,Bavaro,Modesto,2022,hispanic
Jeremiah,Williams,Modesto,2022,black
Becky,Shevlin,Monrovia,2011,white
Tom,Adams,Monrovia,2011,white
Alexander,Blackburn,Monrovia,2013,black
Larry,Spicer,Monrovia,2013,white
Becky,Shevlin,Monrovia,2015,white
Gloria,Crudgington,Monrovia,2015,white
Alexander,Blackburn,Monrovia,2017,black
Larry,Spicer,Monrovia,2017,white
Gloria,Crudgington,Monrovia,2020,white
Becky,Shevlin,Monrovia,2020,white
Larry,Spicer,Monrovia,2022,white
Tamala,Kelly,Monrovia,2022,white
Teresa,Newton,Montague,2014,white
D.,Aiello,Montague,2014,white
John,Hammond,Montague,2014,white
Tiffanie,Lorenzini,Montague,2018,white
Teresa,Newton,Montague,2018,white
Takeshi,Murakami,Montague,2020,asian
Crystal,Rivera,Montague,2020,hispanic
Shelley,Solis,Montague,2020,hispanic
Leonard,Paulitz,MONTCLAIR,2010,white
Bill,Ruh,MONTCLAIR,2010,white
Javier,Dutrey,Montclair,2012,white
Carolyn,Raft,Montclair,2012,white
Bill,Ruh,Montclair,2014,white
Trisha,Martinez,Montclair,2014,hispanic
Carolyn,Raft,Montclair,2016,white
Javier,Dutrey,Montclair,2016,white
Trisha,Martinez,Montclair,2018,hispanic
Bill,Ruh,Montclair,2018,white
Benjamin,Lopez,Montclair,2020,hispanic
Tenice,Johnson,Montclair,2020,black
Corysa,Martinez,Montclair,2020,hispanic
Corysa,Martinez,Montclair,2022,hispanic
Bill,Ruh,Montclair,2022,white
Marshall,Angstandig,MONTE SERENO,2010,black
Burton,Craig,MONTE SERENO,2010,white
Curtis,Rogers,MONTE SERENO,2010,white
Julie,Wiltshire,Monte Sereno,2012,white
Walter,Huff,Monte Sereno,2012,white
Susan,Garner,Monte Sereno,2014,white
Burton,Craig,Monte Sereno,2014,white
Marshall,Anstandig,Monte Sereno,2014,black
Curtis,Rogers,Monte Sereno,2016,white
Rowena,Turner,Monte Sereno,2016,black
Javed,Ellahie,Monte Sereno,2018,white
Liz,Lawler,Monte Sereno,2018,white
Shawn,Leuthold,Monte Sereno,2018,white
Bryan,Mekechuk,Monte Sereno,2020,white
Rowena,Turner,Monte Sereno,2020,black
Alberto,Perez,MONTEBELLO,2010,hispanic
Christina,Cortez,MONTEBELLO,2010,hispanic
Christina,Cortez,Montebello,2011,hispanic
Jack,Hadjinian,Montebello,2011,white
Vivian,Romero,Montebello,2013,hispanic
Art,Barajas,Montebello,2013,hispanic
William,Molinari,Montebello,2013,white
Jack,Hadjinian,Montebello,2015,white
Vanessa,Delgado,Montebello,2015,hispanic
Kimberly,Cobos-Cawthorne,Montebello,2018,hispanic
Angie,Jimenz,Montebello,2018,white
Salvador,Melendez,Montebello,2018,hispanic
David,Torres,Montebello,2019,hispanic
Scarlet,Peralta,Montebello,2020,hispanic
David,Torres,Montebello,2020,hispanic
Georgina,Tamayo,Montebello,2022,hispanic
Scarlet,Peralta,Montebello,2022,hispanic
Salvador,Melendez,Montebello,2022,hispanic
David,Torres,Montebello,2022,hispanic
Angie,Jimenez,Montebello,2022,hispanic
Alan,Haffa,Monterey,2012,white
Libby,Downey,Monterey,2012,white
Ed,Smith,Monterey,2014,black
Timothy,Barrett,Monterey,2014,white
Dan,Albert,Monterey,2016,white
Alan,Haffa,Monterey,2016,white
Ed,Smith,Monterey,2018,black
Tyler,Williamson,Monterey,2018,white
Dan,Albert,Monterey,2020,white
Alan,Haffa,Monterey,2020,white
Kim,Barber,Monterey,2022,white
Ed,Smith,Monterey,2022,black
Mitchell,Ing,Monterey Park,2011,asian
Teresa,Sebastian,Monterey Park,2011,white
Anthony,Wong,Monterey Park,2011,asian
Hans,Liang,Monterey Park,2013,asian
Peter,Chan,Monterey Park,2013,asian
Mitchell,Ing,Monterey Park,2015,asian
Teresa,Sebastian,Monterey Park,2015,white
Stephen,Lam,Monterey Park,2015,asian
Peter,Chan,Monterey Park,2017,asian
Hans,Liang,Monterey Park,2017,asian
Yvonne,Yiu,Monterey Park,2020,asian
Fred,Sornoso,Monterey Park,2020,hispanic
Henry,Lo,Monterey Park,2020,asian
Thomas,Wong,Monterey Park,2022,asian
Jose,Sanchez,Monterey Park,2022,hispanic
Vinh,Ngo,Monterey Park,2022,asian
David,Pollock,MOORPARK,2010,white
Mark,Van Dam,MOORPARK,2010,asian
Keith,Millhouse,Moorpark,2012,white
Roseann,Mikos,Moorpark,2012,hispanic
David,Pollock,Moorpark,2014,white
Mark,Van Dam,Moorpark,2014,asian
Roseann,Mikos,Moorpark,2016,hispanic
Ken,Simons,Moorpark,2016,white
Chris,Enegren,Moorpark,2018,white
David,Pollock,Moorpark,2018,white
Daniel,Groff,Moorpark,2020,white
Antonio,Castro,Moorpark,2020,hispanic
Renee,Delgado,Moorpark,2022,hispanic
Tom,Means,Moorpark,2022,white
Ken,Chew,MORAGA,2010,asian
Dave,Trotter,MORAGA,2010,white
Roger,Wykle,Moraga,2012,white
Phillip,Arth,Moraga,2012,white
Michael,Metcalf,Moraga,2012,white
Dave,Trotter,Moraga,2014,white
Teresa,Onoda,Moraga,2014,white
Roger,Wykle,Moraga,2016,white
Kymberleigh,Korpus,Moraga,2016,white
Jeanette,Fritzky,Moraga,2016,white
Mike,Mccluer,Moraga,2018,white
Steve,Woehleke,Moraga,2018,white
Teresa,Onoda,Moraga,2020,white
David,Stromberg,Moraga,2020,white
Renata,Sos,Moraga,2020,hispanic
Steve,Woehleke,Moraga,2022,white
Kerry,Hillis,Moraga,2022,white
David,Shapiro,Moraga,2022,white
Richard,Stewart,MORENO VALLEY,2010,white
Marcelo,Co,MORENO VALLEY,2010,white
Jesse,Molina,Moreno Valley,2012,hispanic
Tom,Owings,Moreno Valley,2012,white
Victoria,Baca,Moreno Valley,2012,hispanic
George,Price,Moreno Valley,2014,white
Jeffrey,Giba,Moreno Valley,2014,white
Yxstian,Gutierrez,Moreno Valley,2014,hispanic
Dolores,Jempson,Moreno Valley,2014,white
Victoria,Baca,Moreno Valley,2016,hispanic
David,Marquez,Moreno Valley,2016,hispanic
Ulises,Cabrera,Moreno Valley,2017,hispanic
Carla,Thornton,Moreno Valley,2018,white
Ulises,Cabrera,Moreno Valley,2018,hispanic
Victoria,Baca,Moreno Valley,2020,hispanic
David,Marquez,Moreno Valley,2020,hispanic
Ed,Delgado,Moreno Valley,2021,hispanic
Elena,Baca-Santa Cruz,Moreno Valley,2022,hispanic
Ed,Delgado,Moreno Valley,2022,hispanic
Cheylynda,Barnard,Moreno Valley,2022,white
Rich,Constantine,MORGAN HILL,2010,white
Gordon,Siebert,MORGAN HILL,2010,white
Marilyn,Librers,Morgan Hill,2012,white
Larry,Carr,Morgan Hill,2012,white
Gordon,Siebert,Morgan Hill,2014,white
Rich,Constantine,Morgan Hill,2014,white
Rene,Spring,Morgan Hill,2016,white
Larry,Carr,Morgan Hill,2016,white
Yvonne,Beltran,Morgan Hill,2018,hispanic
John,McKay,Morgan Hill,2018,white
Gino,Borgioli,Morgan Hill,2020,white
Rene,Spring,Morgan Hill,2020,white
Yvonne,Beltrán,Morgan Hill,2022,hispanic
Marilyn,Librers,Morgan Hill,2022,white
Nancy,Johnson,MORRO BAY,2010,black
Jack,Smith,MORRO BAY,2010,black
George,Leage,MORRO BAY,2010,white
Christine,Johnson,Morro Bay,2012,black
Noah,Smukler,Morro Bay,2012,white
Matt,Makowetski,Morro Bay,2014,white
John,Headding,Morro Bay,2014,white
Marlys,McPherson,Morro Bay,2016,white
Robert,Davis,Morro Bay,2016,black
Dawn,Addis,Morro Bay,2018,white
Jeff,Heller,Morro Bay,2018,white
Laurel,Barton,Morro Bay,2020,black
Robert,Davis,Morro Bay,2020,black
Jennifer,Ford,Morro Bay,2022,white
Robin,Landrum,Morro Bay,2022,white
Cyndee,Edwards,Morro Bay,2022,white
Margaret,Abe-Koga,MOUNTAIN VIEW,2010,asian
Ronit,Bryant,MOUNTAIN VIEW,2010,white
Jac,Siegel,MOUNTAIN VIEW,2010,white
Chris,Clark,Mountain View,2012,white
John,McAlister,Mountain View,2012,white
John,Inks,Mountain View,2012,white
Mike,Kasperzak,Mountain View,2012,white
Pat,Showlter,Mountain View,2014,white
Ken,Rosenberg,Mountain View,2014,white
Leanoard,Sigel,Mountain View,2014,white
Lisa,Matichak,Mountain View,2016,white
Margaret,Abe-Koga,Mountain View,2016,asian
Chris,Clark,Mountain View,2016,white
John,McAlister,Mountain View,2016,white
Alison,Hicks,Mountain View,2018,white
Ellen,Kamei,Mountain View,2018,white
Lucas,Ramirez,Mountain View,2018,hispanic
Sally,Lieber,Mountain View,2020,white
Pat,Showalter,Mountain View,2020,white
Margaret,Abe-Koga,Mountain View,2020,asian
Lisa,Matichak,Mountain View,2020,white
Ellen,Kamei,Mountain View,2022,white
Alison,Hicks,Mountain View,2022,white
Lucas,Ramirez,Mountain View,2022,hispanic
Tom,Moore,MT. SHASTA,2010,white
Tim,Stearns,MT. SHASTA,2010,white
Geoff,Harkness,Mt. Shasta,2012,white
Michael,Burns Sr.,Mt. Shasta,2012,white
Jeffrey,Collings,Mt. Shasta,2012,white
Tom,Moore,Mt. Shasta,2014,white
Tim,Stearns,Mt. Shasta,2014,white
Kathy,Morter,Mt. Shasta,2015,white
Barbara,Wagner,Mt. Shasta,2016,white
Paul,Engstrom,Mt. Shasta,2016,white
John,Stackfleth,Mt. Shasta,2016,white
Jeffrey,Collings,Mt. Shasta,2018,white
John,Redmond,Mt. Shasta,2018,white
Lisa,Deforest,Murieta Valley,2020,white
Lori,Stone,Murieta Valley,2020,black
Kelly,Bennett,MURRIETA,2010,white
Rick,Gibbs,MURRIETA,2010,white
Alan,Long,MURRIETA,2010,white
Harry,Ramos,Murrieta,2012,hispanic
Randon,Lane,Murrieta,2012,white
Rick,Gibbs,Murrieta,2014,white
Alan,Long,Murrieta,2014,white
Jonathan,Ingram,Murrieta,2014,white
Randon,Lane,Murrieta,2016,white
Kelly,Seyarto,Murrieta,2016,hispanic
Jonathan,Ingram,Murrieta,2018,white
Christi,White,Murrieta,2018,white
Scott,Vinton,Murrieta,2018,white
Ron,Holliday,Murrieta,2022,white
Cindy,Warren,Murrieta,2022,white
Juliana,Inman,NAPA,2010,white
Peter,Mott,NAPA,2010,white
Scott,Sedgley,Napa,2012,white
Alfredo,Pedroza,Napa,2012,hispanic
Juliana,Inman,Napa,2014,white
Peter,Mott,Napa,2014,white
Scott,Sedgley,Napa,2016,white
Doris,Gentry,Napa,2016,white
Liz,Alessio,Napa,2018,white
Mary,Luros,Napa,2018,hispanic
Beth,Painter,Napa,2020,white
Bernardo,Narvaez,Napa,2020,hispanic
Liz,Alessio,Napa,2022,white
Mary,Luros,Napa,2022,hispanic
Mona,Rios,National,2014,hispanic
Albert,Mendivil,National,2014,hispanic
Marcus,Bush,National,2020,white
Jose,Rodriguez,National,2020,hispanic
Mona,Alvarado-Rios,NATIONAL CITY,2010,hispanic
Luis,Natividad,NATIONAL CITY,2010,hispanic
Alejandra,Sotelo-Solis,National City,2012,hispanic
Jerry,Cano,National City,2012,hispanic
Alejandra,Sotelo-Solis,National City,2016,hispanic
Jerry,Cano,National City,2016,hispanic
Mona,Alvarado-Rios,National City,2018,hispanic
Ron,Morrison,National City,2018,white
Luiz,Molina,National City,2022,hispanic
Ditas,Yamane,National City,2022,asian
Terry,Campbell,NEEDLES,2010,white
Shawn,Gudmundson,NEEDLES,2010,white
Kinda,Kidd,NEEDLES,2010,white
Tom,Darcy,Needles,2012,white
Tony,Frazier,Needles,2012,white
Jim,Lopez,Needles,2012,hispanic
Robert,Richardson,Needles,2014,black
Jeff,Williams,Needles,2014,black
Louise,Evans,Needles,2014,white
Tona,Belt,Needles,2016,white
Shawn,Gudmundson,Needles,2016,white
Clayton,Hazlewood,Needles,2016,white
Zachery,Longacre,Needles,2018,white
Edward,Paget,Needles,2018,white
Timothy,Terral,Needles,2018,hispanic
Ellen,Campbell,Needles,2020,white
Kirsten,Merritt,Needles,2020,white
Tona,Belt,Needles,2020,white
Jamie,McCorkle,Needles,2022,white
Joanne,Pogue,Needles,2022,white
Henry,Longbrake,Needles,2022,white
Reinette,Senum,Nevada,2016,white
David,Parker,Nevada,2016,white
Valerie,Moberg,Nevada,2016,white
Adam,Kline,Nevada,2022,white
Lou,Ceci,Nevada,2022,white
Sally,Harris,NEVADA CITY,2010,black
Duane,Strawser,NEVADA CITY,2010,white
Duane,Strawser,Nevada City,2014,white
Evans,Phelps,Nevada City,2014,white
Erin,Minett,Nevada City,2018,white
Duane,Strawser,Nevada City,2018,white
Daniela,Fernández,Nevada City,2020,hispanic
Douglass,Fleming,Nevada City,2020,white
Gary,Petersen,Nevada City,2020,white
Reinette,Senum,Nevada City,2020,white
Maria,Callazo,Newark,2011,hispanic
Luis,Freitas,Newark,2011,white
Mike,Hannon,Newark,2014,white
Mike,Bucci,Newark,2014,white
Maria,Collazo,Newark,2016,hispanic
Luis,Freitas,Newark,2016,white
Maria,Collazo,Newark,2020,hispanic
Luis,Freitas,Newark,2020,white
Mike,Bucci,Newark,2022,white
Matthew,Jorgens,Newark,2022,white
Nicholas,Candea,NEWMAN,2010,hispanic
Donald,Hutchins,NEWMAN,2010,white
Casey,Graham,Newman,2014,white
Nicholas,Candea,Newman,2014,hispanic
