firstname,lastname,city,year,gender
Adam,Urrutia,Marina,2018,male
Kathy,Biala,Marina,2020,female
Cristina,Dirksen,Marina,2020,female
Brian,McCarthy,Marina,2022,female
"Elisabeth""Liesbeth""",Visscher,Marina,2022,female
Lara,DeLaney,MARTINEZ,2010,female
Michael,Menesini,MARTINEZ,2010,male
Anamarie,Farias,Martinez,2012,female
Mark,Ross,Martinez,2012,male
Lara,Delaney,Martinez,2014,female
Debbie,McKillop,Martinez,2014,female
Mark,Ross,Martinez,2016,male
Noralea,Gipner,Martinez,2016,female
Lara,Delaney,Martinez,2018,female
Debbie,Mckillop,Martinez,2018,female
Brianne,Zorn,Martinez,2020,female
Mark,Ross,Martinez,2020,male
Jay,Howard,Martinez,2022,male
Debbie,McKillop,Martinez,2022,female
Ricky,Samayoa,MARYSVILLE,2010,male
Dale,Whitmore,MARYSVILLE,2010,male
Michael,Selvidge,Marysville,2012,male
Jim,Kitchen,Marysville,2012,male
Christopher,Pedigo,Marysville,2014,male
Dale,Whitmore,Marysville,2014,male
Stephanie,McKenzie,Marysville,2016,female
Billy,Simmons,Marysville,2016,male
Bruce,Buttacavoli,Marysville,2018,male
Brad,Hudson,Marysville,2018,male
John,Belza,Marysville,2020,male
Stuart,Gilchrist,Marysville,2020,male
Bruce,Buttacavoli,Marysville,2022,male
Brad,Hudson,Marysville,2022,male
Veronica,Guardado,Maywood,2011,female
Oscar,Magana,Maywood,2011,male
Ricardo,Villarreal,Maywood,2013,male
Thomas,Martin,Maywood,2013,male
Eduardo,De La Riva,Maywood,2013,male
Sergio,Calderon,Maywood,2015,male
Ramon,Medina,Maywood,2015,male
Eduardo,De La Riva,Maywood,2018,male
Ricardo,Lara,Maywood,2018,male
Heber,Marquez,Maywood,2018,male
Frank,Garcia,Maywood,2020,male
Jessica,Torres,Maywood,2020,female
Eduardo,De La Riva,Maywood,2022,male
Mayra,Aguiluz,Maywood,2022,female
Heber,Marquez,Maywood,2022,male
Russell,Coker,MCFARLAND,2010,male
Vidal,Santillano,MCFARLAND,2010,male
Rafael,Melendez,McFarland,2012,male
Stephen,McFarland,McFarland,2012,male
Vidal,Santillan,McFarland,2014,male
J.Russell,Coker,McFarland,2014,male
Stephen,McFarland,McFarland,2016,male
Rafael,Melendez,McFarland,2016,male
Sally,Gonzalez,McFarland,2018,female
Maria,Perez,McFarland,2018,female
Saul,Ayon,McFarland,2020,male
Ricardo,Cano,McFarland,2020,male
Eric,Rodriguez,McFarland,2020,male
Amador,Ayon,McFarland,2022,male
Anita,Gonzalez,McFarland,2022,female
Joseph,Amador,MENDOTA,2010,male
S.,Capuchino,MENDOTA,2010,male
Robert,Silva,MENDOTA,2010,male
Sergio,Valdez,Mendota,2012,male
Joseph,Riofrio,Mendota,2012,male
Rolando,Castro,Mendota,2014,male
Joseph,Amador,Mendota,2014,male
Robert,Silva,Mendota,2014,male
Victor,Martinez,Mendota,2016,male
Oscar,Rosales,Mendota,2016,male
Rolando,Castro,Mendota,2018,male
Jesse,Mendoza,Mendota,2018,male
Robert,Silva,Mendota,2018,male
Jose,Alonso,Mendota,2020,male
Oscar,Rosales,Mendota,2020,male
Joseph,Riofrio,Mendota,2020,male
Victor,Martinez,Mendota,2022,male
Libertad,Lopez,Mendota,2022,female
Rolando,Castro,Mendota,2022,male
Thomas,Fuhrman,MENIFEE,2010,male
John,Denver,MENIFEE,2010,male
Greg,August,Menifee,2012,male
Wallace,Edgerton,Menifee,2012,male
Matthew,Liesemeyer,Menifee,2014,male
John,Denver,Menifee,2014,male
Lesa,Sobek,Menifee,2015,female
Greg,August,Menifee,2016,male
Lesa,Sobek,Menifee,2016,female
Matthew,Liesmeyer,Menifee,2018,male
Dean,Deines,Menifee,2018,female
Lesa,Sobek,Menifee,2020,female
Ricky,Estrada,Menifee,2022,male
Richard,Cline,MENLO PARK,2010,male
Kirsten,Keith,MENLO PARK,2010,female
Peter,Ohtaki,MENLO PARK,2010,male
Ray,Mueller,Menlo Park,2012,male
Catherine,Carlton,Menlo Park,2012,female
Peter,Ohtaki,Menlo Park,2014,male
Kirsten,Keith,Menlo Park,2014,female
Rich,Cline,Menlo Park,2014,male
Ray,Mueller,Menlo Park,2016,male
Catherine,Carlton,Menlo Park,2016,female
Cecilia,Taylor,Menlo Park,2018,female
Drew,Combs,Menlo Park,2018,male
Betsy,Nash,Menlo Park,2018,female
Jen,Wolosin,Menlo Park,2020,female
Ray,Mueller,Menlo Park,2020,male
Cecilia,Taylor,Menlo Park,2022,female
Drew,Combs,Menlo Park,2022,male
Betsy,Nash,Menlo Park,2022,female
Noah,Lor,Merced,2011,female
Mark,Dossetti,Merced,2011,male
Mike,Murphy,Merced,2011,male
Josh,Pedrozo,Merced,2013,male
Kevin,Blake,Merced,2013,male
Michael,Belluomini,Merced,2013,male
Anthony,Martinez,Merced,2016,male
Jill,McLeod,Merced,2016,female
Matthew,Serratto,Merced,2016,male
Fernando,Echevarria,Merced,2018,male
Kevin,Blake,Merced,2018,male
Delray,Shelton,Merced,2018,male
Jesse,Ornelas,Merced,2020,male
Bertha,Perez,Merced,2020,female
Sarah,Boyle,Merced,2020,female
Ronnie,De Anda,Merced,2022,female
Shane,Smith,Merced,2022,female
Fue,Xiong,Merced,2022,female
Bob,Nunez,Milipitas,2016,male
Anthony,Phan,Milipitas,2016,male
John,McCauley,Mill Valley,2013,male
Jessica,Jackson,Mill Valley,2013,female
Stephanie,Moulton-Peters,Mill Valley,2015,female
Jim,Wickham,Mill Valley,2015,male
Sashi,McEntee,Mill Valley,2015,female
Urban,Carmel,Mill Valley,2020,female
Tricia,Ossa,Mill Valley,2020,female
Jim,Wickham,Mill Valley,2020,male
Sashi,Mcentee,Mill Valley,2020,female
Caroline,Joachim,Mill Valley,2023,female
Wayne,Lee,Millbrae,2011,male
Marge,Colapietro,Millbrae,2011,female
Robert,Gottschalk,Millbrae,2011,male
Anne,Oliva,Millbrae,2013,female
Reuben,Holober,Millbrae,2013,male
Gina,Papan,Millbrae,2015,female
Ann,Schneider,Millbrae,2015,female
Wayne,Lee,Millbrae,2015,male
Reuben,Holober,Millbrae,2018,male
Anne,Oliva,Millbrae,2018,female
Anders,Fung,Millbrae,2020,male
Gina,Papan,Millbrae,2020,female
Ann,Schneider,Millbrae,2020,female
Angelina,Cahalan,Millbrae,2022,female
Christine,Boles,Millbrae,2022,female
Maurice,Goodman,Millbrae,2022,male
Armando,Gomez,MILPITAS,2010,male
Althea,Polanski,MILPITAS,2010,female
Carmen,Montano,Milpitas,2012,female
Debbie,Giordano,Milpitas,2012,female
Marsha,Grilli,Milpitas,2014,female
Garry,Barbadillo,Milpitas,2014,male
Karina,Dominguez,Milpitas,2018,female
Carmen,Montano,Milpitas,2018,female
Evelyn,Chua,Milpitas,2020,female
Anthony,Phan,Milpitas,2020,male
Hon,Lien,Milpitas,2022,male
Garry,Barbadillo,Milpitas,2022,male
David,Leckness,MISSION VIEJO,2010,male
Patricia,Kelley,MISSION VIEJO,2010,female
Rhonda,Reardon,MISSION VIEJO,2010,female
Frank,Ury,Mission Viejo,2012,male
Cathy,Schlicht,Mission Viejo,2012,female
Greg,Raths,Mission Viejo,2014,male
Ed,Sachs,Mission Viejo,2014,male
Wendy,Bucknum,Mission Viejo,2014,female
Patricia,Kelley,Mission Viejo,2016,female
Brian,Goodell,Mission Viejo,2016,female
Wendy,Bucknum,Mission Viejo,2018,female
Greg,Raths,Mission Viejo,2018,male
Ed,Sachs,Mission Viejo,2018,male
Brian,Goodell,Mission Viejo,2020,female
Patricia,Kelley,Mission Viejo,2020,female
Robert,Ruesch,Mission Viejo,2022,male
Brian,Goodell,Mission Viejo,2022,female
Cynthia,Vasquez,Mission Viejo,2022,female
Patricia,Kelley,Mission Viejo,2022,female
Wendy,Bucknum,Mission Viejo,2022,female
John,Gunderson,Modesto,2011,male
Dave,Lopez,Modesto,2011,male
Stephanie,Burnside,Modesto,2011,female
Dave,"Cogdill, Jr.",Modesto,2011,male
Tony,Madrigal,Modesto,2013,male
Bill,Zoslocki,Modesto,2013,male
Jenny,Ketchum Kenoyer,Modesto,2013,female
Mani,Grewal,Modesto,2015,male
Kristi,Ah You,Modesto,2015,female
Doug,"Ridenour, Sr.",Modesto,2015,male
Tony,Madrigal,Modesto,2017,male
Bill,Zoslocki,Modesto,2017,male
Jenny,Kenoyer,Modesto,2017,female
Rosa,Escutia-Braaton,Modesto,2020,female
Chris,Ricci,Modesto,2020,male
David,Wright,Modesto,2020,male
Eric,Alvarez,Modesto,2022,male
Nick,Bavaro,Modesto,2022,male
Jeremiah,Williams,Modesto,2022,female
Becky,Shevlin,Monrovia,2011,female
Tom,Adams,Monrovia,2011,male
Alexander,Blackburn,Monrovia,2013,male
Larry,Spicer,Monrovia,2013,male
Becky,Shevlin,Monrovia,2015,female
Gloria,Crudgington,Monrovia,2015,female
Alexander,Blackburn,Monrovia,2017,male
Larry,Spicer,Monrovia,2017,male
Gloria,Crudgington,Monrovia,2020,female
Becky,Shevlin,Monrovia,2020,female
Larry,Spicer,Monrovia,2022,male
Tamala,Kelly,Monrovia,2022,female
Teresa,Newton,Montague,2014,female
D.,Aiello,Montague,2014,female
John,Hammond,Montague,2014,male
Tiffanie,Lorenzini,Montague,2018,female
Teresa,Newton,Montague,2018,female
Takeshi,Murakami,Montague,2020,male
Crystal,Rivera,Montague,2020,female
Shelley,Solis,Montague,2020,female
Leonard,Paulitz,MONTCLAIR,2010,male
Bill,Ruh,MONTCLAIR,2010,male
Javier,Dutrey,Montclair,2012,male
Carolyn,Raft,Montclair,2012,female
Bill,Ruh,Montclair,2014,male
Trisha,Martinez,Montclair,2014,female
Carolyn,Raft,Montclair,2016,female
Javier,Dutrey,Montclair,2016,male
Trisha,Martinez,Montclair,2018,female
Bill,Ruh,Montclair,2018,male
Benjamin,Lopez,Montclair,2020,male
Tenice,Johnson,Montclair,2020,female
Corysa,Martinez,Montclair,2020,female
Corysa,Martinez,Montclair,2022,female
Bill,Ruh,Montclair,2022,male
Marshall,Angstandig,MONTE SERENO,2010,male
Burton,Craig,MONTE SERENO,2010,male
Curtis,Rogers,MONTE SERENO,2010,male
Julie,Wiltshire,Monte Sereno,2012,female
Walter,Huff,Monte Sereno,2012,male
Susan,Garner,Monte Sereno,2014,female
Burton,Craig,Monte Sereno,2014,male
Marshall,Anstandig,Monte Sereno,2014,male
Curtis,Rogers,Monte Sereno,2016,male
Rowena,Turner,Monte Sereno,2016,female
Javed,Ellahie,Monte Sereno,2018,male
Liz,Lawler,Monte Sereno,2018,female
Shawn,Leuthold,Monte Sereno,2018,male
Bryan,Mekechuk,Monte Sereno,2020,female
Rowena,Turner,Monte Sereno,2020,female
Alberto,Perez,MONTEBELLO,2010,male
Christina,Cortez,MONTEBELLO,2010,female
Christina,Cortez,Montebello,2011,female
Jack,Hadjinian,Montebello,2011,male
Vivian,Romero,Montebello,2013,female
Art,Barajas,Montebello,2013,male
William,Molinari,Montebello,2013,male
Jack,Hadjinian,Montebello,2015,male
Vanessa,Delgado,Montebello,2015,female
Kimberly,Cobos-Cawthorne,Montebello,2018,female
Angie,Jimenz,Montebello,2018,female
Salvador,Melendez,Montebello,2018,male
David,Torres,Montebello,2019,male
Scarlet,Peralta,Montebello,2020,female
David,Torres,Montebello,2020,male
Georgina,Tamayo,Montebello,2022,female
Scarlet,Peralta,Montebello,2022,female
Salvador,Melendez,Montebello,2022,male
David,Torres,Montebello,2022,male
Angie,Jimenez,Montebello,2022,female
Alan,Haffa,Monterey,2012,female
Libby,Downey,Monterey,2012,female
Ed,Smith,Monterey,2014,male
Timothy,Barrett,Monterey,2014,male
Dan,Albert,Monterey,2016,female
Alan,Haffa,Monterey,2016,female
Ed,Smith,Monterey,2018,male
Tyler,Williamson,Monterey,2018,male
Dan,Albert,Monterey,2020,female
Alan,Haffa,Monterey,2020,female
Kim,Barber,Monterey,2022,female
Ed,Smith,Monterey,2022,male
Mitchell,Ing,Monterey Park,2011,male
Teresa,Sebastian,Monterey Park,2011,female
Anthony,Wong,Monterey Park,2011,male
Hans,Liang,Monterey Park,2013,male
Peter,Chan,Monterey Park,2013,male
Mitchell,Ing,Monterey Park,2015,male
Teresa,Sebastian,Monterey Park,2015,female
Stephen,Lam,Monterey Park,2015,male
Peter,Chan,Monterey Park,2017,male
Hans,Liang,Monterey Park,2017,male
Yvonne,Yiu,Monterey Park,2020,female
Fred,Sornoso,Monterey Park,2020,male
Henry,Lo,Monterey Park,2020,male
Thomas,Wong,Monterey Park,2022,male
Jose,Sanchez,Monterey Park,2022,male
Vinh,Ngo,Monterey Park,2022,male
David,Pollock,MOORPARK,2010,male
Mark,Van Dam,MOORPARK,2010,male
Keith,Millhouse,Moorpark,2012,male
Roseann,Mikos,Moorpark,2012,female
David,Pollock,Moorpark,2014,male
Mark,Van Dam,Moorpark,2014,male
Roseann,Mikos,Moorpark,2016,female
Ken,Simons,Moorpark,2016,male
Chris,Enegren,Moorpark,2018,male
David,Pollock,Moorpark,2018,male
Daniel,Groff,Moorpark,2020,male
Antonio,Castro,Moorpark,2020,male
Renee,Delgado,Moorpark,2022,female
Tom,Means,Moorpark,2022,male
Ken,Chew,MORAGA,2010,male
Dave,Trotter,MORAGA,2010,male
Roger,Wykle,Moraga,2012,male
Phillip,Arth,Moraga,2012,male
Michael,Metcalf,Moraga,2012,male
Dave,Trotter,Moraga,2014,male
Teresa,Onoda,Moraga,2014,female
Roger,Wykle,Moraga,2016,male
Kymberleigh,Korpus,Moraga,2016,female
Jeanette,Fritzky,Moraga,2016,female
Mike,Mccluer,Moraga,2018,male
Steve,Woehleke,Moraga,2018,male
Teresa,Onoda,Moraga,2020,female
David,Stromberg,Moraga,2020,male
Renata,Sos,Moraga,2020,female
Steve,Woehleke,Moraga,2022,male
Kerry,Hillis,Moraga,2022,male
David,Shapiro,Moraga,2022,male
Richard,Stewart,MORENO VALLEY,2010,male
Marcelo,Co,MORENO VALLEY,2010,male
Jesse,Molina,Moreno Valley,2012,male
Tom,Owings,Moreno Valley,2012,male
Victoria,Baca,Moreno Valley,2012,female
George,Price,Moreno Valley,2014,male
Jeffrey,Giba,Moreno Valley,2014,male
Yxstian,Gutierrez,Moreno Valley,2014,female
Dolores,Jempson,Moreno Valley,2014,female
Victoria,Baca,Moreno Valley,2016,female
David,Marquez,Moreno Valley,2016,male
Ulises,Cabrera,Moreno Valley,2017,male
Carla,Thornton,Moreno Valley,2018,female
Ulises,Cabrera,Moreno Valley,2018,male
Victoria,Baca,Moreno Valley,2020,female
David,Marquez,Moreno Valley,2020,male
Ed,Delgado,Moreno Valley,2021,male
Elena,Baca-Santa Cruz,Moreno Valley,2022,female
Ed,Delgado,Moreno Valley,2022,male
Cheylynda,Barnard,Moreno Valley,2022,female
Rich,Constantine,MORGAN HILL,2010,male
Gordon,Siebert,MORGAN HILL,2010,male
Marilyn,Librers,Morgan Hill,2012,female
Larry,Carr,Morgan Hill,2012,male
Gordon,Siebert,Morgan Hill,2014,male
Rich,Constantine,Morgan Hill,2014,male
Rene,Spring,Morgan Hill,2016,female
Larry,Carr,Morgan Hill,2016,male
Yvonne,Beltran,Morgan Hill,2018,female
John,McKay,Morgan Hill,2018,male
Gino,Borgioli,Morgan Hill,2020,male
Rene,Spring,Morgan Hill,2020,female
Yvonne,Beltrán,Morgan Hill,2022,female
Marilyn,Librers,Morgan Hill,2022,female
Nancy,Johnson,MORRO BAY,2010,female
Jack,Smith,MORRO BAY,2010,male
George,Leage,MORRO BAY,2010,male
Christine,Johnson,Morro Bay,2012,female
Noah,Smukler,Morro Bay,2012,female
Matt,Makowetski,Morro Bay,2014,male
John,Headding,Morro Bay,2014,male
Marlys,McPherson,Morro Bay,2016,male
Robert,Davis,Morro Bay,2016,male
Dawn,Addis,Morro Bay,2018,female
Jeff,Heller,Morro Bay,2018,male
Laurel,Barton,Morro Bay,2020,female
Robert,Davis,Morro Bay,2020,male
Jennifer,Ford,Morro Bay,2022,female
Robin,Landrum,Morro Bay,2022,female
Cyndee,Edwards,Morro Bay,2022,female
Margaret,Abe-Koga,MOUNTAIN VIEW,2010,female
Ronit,Bryant,MOUNTAIN VIEW,2010,female
Jac,Siegel,MOUNTAIN VIEW,2010,male
Chris,Clark,Mountain View,2012,male
John,McAlister,Mountain View,2012,male
John,Inks,Mountain View,2012,male
Mike,Kasperzak,Mountain View,2012,male
Pat,Showlter,Mountain View,2014,female
Ken,Rosenberg,Mountain View,2014,male
Leanoard,Sigel,Mountain View,2014,male
Lisa,Matichak,Mountain View,2016,female
Margaret,Abe-Koga,Mountain View,2016,female
Chris,Clark,Mountain View,2016,male
John,McAlister,Mountain View,2016,male
Alison,Hicks,Mountain View,2018,male
Ellen,Kamei,Mountain View,2018,female
Lucas,Ramirez,Mountain View,2018,male
Sally,Lieber,Mountain View,2020,female
Pat,Showalter,Mountain View,2020,female
Margaret,Abe-Koga,Mountain View,2020,female
Lisa,Matichak,Mountain View,2020,female
Ellen,Kamei,Mountain View,2022,female
Alison,Hicks,Mountain View,2022,male
Lucas,Ramirez,Mountain View,2022,male
Tom,Moore,MT. SHASTA,2010,male
Tim,Stearns,MT. SHASTA,2010,male
Geoff,Harkness,Mt. Shasta,2012,male
Michael,Burns Sr.,Mt. Shasta,2012,male
Jeffrey,Collings,Mt. Shasta,2012,male
Tom,Moore,Mt. Shasta,2014,male
Tim,Stearns,Mt. Shasta,2014,male
Kathy,Morter,Mt. Shasta,2015,female
Barbara,Wagner,Mt. Shasta,2016,female
Paul,Engstrom,Mt. Shasta,2016,male
John,Stackfleth,Mt. Shasta,2016,male
Jeffrey,Collings,Mt. Shasta,2018,male
John,Redmond,Mt. Shasta,2018,male
Lisa,Deforest,Murieta Valley,2020,female
Lori,Stone,Murieta Valley,2020,female
Kelly,Bennett,MURRIETA,2010,female
Rick,Gibbs,MURRIETA,2010,male
Alan,Long,MURRIETA,2010,female
Harry,Ramos,Murrieta,2012,male
Randon,Lane,Murrieta,2012,male
Rick,Gibbs,Murrieta,2014,male
Alan,Long,Murrieta,2014,female
Jonathan,Ingram,Murrieta,2014,female
Randon,Lane,Murrieta,2016,male
Kelly,Seyarto,Murrieta,2016,female
Jonathan,Ingram,Murrieta,2018,female
Christi,White,Murrieta,2018,female
Scott,Vinton,Murrieta,2018,male
Ron,Holliday,Murrieta,2022,male
Cindy,Warren,Murrieta,2022,female
Juliana,Inman,NAPA,2010,female
Peter,Mott,NAPA,2010,male
Scott,Sedgley,Napa,2012,male
Alfredo,Pedroza,Napa,2012,male
Juliana,Inman,Napa,2014,female
Peter,Mott,Napa,2014,male
Scott,Sedgley,Napa,2016,male
Doris,Gentry,Napa,2016,male
Liz,Alessio,Napa,2018,female
Mary,Luros,Napa,2018,female
Beth,Painter,Napa,2020,female
Bernardo,Narvaez,Napa,2020,male
Liz,Alessio,Napa,2022,female
Mary,Luros,Napa,2022,female
Mona,Rios,National,2014,female
Albert,Mendivil,National,2014,male
Marcus,Bush,National,2020,male
Jose,Rodriguez,National,2020,male
Mona,Alvarado-Rios,NATIONAL CITY,2010,female
Luis,Natividad,NATIONAL CITY,2010,male
Alejandra,Sotelo-Solis,National City,2012,female
Jerry,Cano,National City,2012,male
Alejandra,Sotelo-Solis,National City,2016,female
Jerry,Cano,National City,2016,male
Mona,Alvarado-Rios,National City,2018,female
Ron,Morrison,National City,2018,male
Luiz,Molina,National City,2022,male
Ditas,Yamane,National City,2022,male
Terry,Campbell,NEEDLES,2010,male
Shawn,Gudmundson,NEEDLES,2010,male
Kinda,Kidd,NEEDLES,2010,female
Tom,Darcy,Needles,2012,male
Tony,Frazier,Needles,2012,male
Jim,Lopez,Needles,2012,male
Robert,Richardson,Needles,2014,male
Jeff,Williams,Needles,2014,male
Louise,Evans,Needles,2014,female
Tona,Belt,Needles,2016,female
Shawn,Gudmundson,Needles,2016,male
Clayton,Hazlewood,Needles,2016,male
Zachery,Longacre,Needles,2018,male
Edward,Paget,Needles,2018,male
Timothy,Terral,Needles,2018,male
Ellen,Campbell,Needles,2020,female
Kirsten,Merritt,Needles,2020,female
Tona,Belt,Needles,2020,female
Jamie,McCorkle,Needles,2022,female
Joanne,Pogue,Needles,2022,female
Henry,Longbrake,Needles,2022,male
Reinette,Senum,Nevada,2016,female
David,Parker,Nevada,2016,male
Valerie,Moberg,Nevada,2016,female
Adam,Kline,Nevada,2022,male
Lou,Ceci,Nevada,2022,male
Sally,Harris,NEVADA CITY,2010,female
Duane,Strawser,NEVADA CITY,2010,male
Duane,Strawser,Nevada City,2014,male
Evans,Phelps,Nevada City,2014,female
Erin,Minett,Nevada City,2018,female
Duane,Strawser,Nevada City,2018,male
Daniela,Fernández,Nevada City,2020,female
Douglass,Fleming,Nevada City,2020,male
Gary,Petersen,Nevada City,2020,male
Reinette,Senum,Nevada City,2020,female
Maria,Callazo,Newark,2011,female
Luis,Freitas,Newark,2011,male
Mike,Hannon,Newark,2014,male
Mike,Bucci,Newark,2014,male
Maria,Collazo,Newark,2016,female
Luis,Freitas,Newark,2016,male
Maria,Collazo,Newark,2020,female
Luis,Freitas,Newark,2020,male
Mike,Bucci,Newark,2022,male
Matthew,Jorgens,Newark,2022,male
Nicholas,Candea,NEWMAN,2010,male
Donald,Hutchins,NEWMAN,2010,male
Casey,Graham,Newman,2014,male
Nicholas,Candea,Newman,2014,male
Murray,Day,Newman,2016,male
Laroy,McDonald,Newman,2016,male
Nick,Candea,Newman,2018,male
Casey,Graham,Newman,2018,male
Laroy,McDonald,Newman,2020,male
John,Pimentel,Newman,2020,male
Mike,Henn,NEWPORT BEACH,2010,male
Rush,Hill,NEWPORT BEACH,2010,male
Leslie,Daigle,NEWPORT BEACH,2010,female
Nancy,Gardner,NEWPORT BEACH,2010,female
Anthony,Petros,Newport Beach,2012,male
Edward,Selich,Newport Beach,2012,male
Keith,Curry,Newport Beach,2012,male
Diane,Dixon,Newport Beach,2014,female
Duffy,Duffield,Newport Beach,2014,male
Kevin,Muldoon,Newport Beach,2014,male
Scott,Peotter,Newport Beach,2014,male
Brad,Avery,Newport Beach,2016,male
Jeff,Herdman,Newport Beach,2016,male
Will,O'Neill,Newport Beach,2016,male
Diane,Dixon,Newport Beach,2018,female
Marshall,Duffield,Newport Beach,2018,male
Kevin,Muldoon,Newport Beach,2018,male
Joy,Brenner,Newport Beach,2018,female
Noah,Blom,Newport Beach,2020,female
Brad,Avery,Newport Beach,2020,male
Will,O'Neill,Newport Beach,2020,male
Joe,Stapleton,Newport Beach,2022,male
Erik,Weigand,Newport Beach,2022,male
Robyn,Grant,Newport Beach,2022,female
Lauren,Kleiman,Newport Beach,2022,female
Kathy,Azevedo,Norco,2011,female
Berwin,Hanna,Norco,2011,male
Herb,Higgins,Norco,2011,male
Kevin,Bash,Norco,2013,male
Greg,Newton,Norco,2013,male
Ted,Hoffman,Norco,2015,male
Robin,Grundmeyer,Norco,2015,female
Berwin,Hanna,Norco,2015,male
Kevin,Bash,Norco,2018,male
Greg,Newton,Norco,2018,male
Katherine,Aleman,Norco,2020,female
Robin,Grundmeyer,Norco,2020,female
Ted,Hoffman,Norco,2020,male
Kevin,Bash,Norco,2022,male
Greg,Newton,Norco,2022,male
Marcel,Rodarte,Norwalk,2011,male
Luigi,Vernola,Norwalk,2011,male
Leonard,Shryrock,Norwalk,2011,male
Michael,Mendez,Norwalk,2013,male
Cheri,Kelley,Norwalk,2013,female
Tony,Ayala,Norwalk,2017,male
Jennifer,Perez,Norwalk,2017,female
Margarita,Rios,Norwalk,2017,female
Rick,Ramirez,Norwalk,2020,male
Ana,Valencia,Norwalk,2020,female
Margarita,Rios,Norwalk,2020,female
Jennifer,Perez,Norwalk,2022,female
Tony,Ayala,Norwalk,2022,male
Eric,Lucan,Novato,2011,male
Jeanne,MacLeamy,Novato,2011,female
Madeline,Kellner,Novato,2011,female
Pat,Eklund,Novato,2013,female
Denise,Athas,Novato,2013,female
Josh,Fryday,Novato,2015,male
Pam,Drew,Novato,2015,female
Eric,Lucan,Novato,2015,male
Denise,Athas,Novato,2017,female
Pat,Eklund,Novato,2017,female
Susan,Wernick,Novato,2019,female
Eric,Lucan,Novato,2019,male
Amy,Peele,Novato,2019,female
Rachel,Farac,Novato,2022,female
Pat,Eklund,Novato,2022,female
Michael,Brennan,OAKDALE,2010,male
Jason,Howard,OAKDALE,2010,male
Donald,Petersen,Oakdale,2012,male
Farrell,Jackson,Oakdale,2012,male
Tom,Dunlop,Oakdale,2012,male
Cherilyn,Bairos,Oakdale,2014,female
J.R.,McCarty,Oakdale,2014,male
Cherilyn,Bairos,Oakdale,2018,female
Christopher,Smith,Oakdale,2018,male
Ericka,Chiara,Oakdale,2020,female
Frederick,Smith,Oakdale,2020,male
Bob,Amaral,Oakdale,2022,male
Kayleigh,Gilbert,Oakdale,2022,female
Christopher,Smith,Oakdale,2022,male
Dan,Kalb,Oakland,2012,female
Sean,Sullivan,Oakland,2012,female
Noel,Gallo,Oakland,2012,male
Larry,Reid,Oakland,2012,male
Rebecca,Kaplan,Oakland,2012,female
Abel,Guillen,Oakland,2014,male
Annie,Washington,Oakland,2014,female
Desley,Brooks,Oakland,2014,female
Dan,Kalb,Oakland,2016,female
Lynette,McElhaney,Oakland,2016,female
Noel,Gallo,Oakland,2016,male
Larry,Reid,Oakland,2016,male
Nikki,Bas,Oakland,2018,female
Sheng,Thao,Oakland,2018,female
Loren,Taylor,Oakland,2018,male
Carroll,Fife,Oakland,2020,female
Treva,Reid,Oakland,2020,female
Rebecca,Kaplan,Oakland,2020,female
Dan,Kalb,Oakland,2020,female
Noel,Gallo,Oakland,2020,male
Nikki,Bas,Oakland,2022,female
Janani,Ramachandran,Oakland,2022,female
Kevin,Jenkins,Oakland,2022,male
Yakpasua,Zazaboi,Oakland,2022,female
Patricia,Kernighan,OAKLAND - RCV,2010,female
Libby,Schaaf,OAKLAND - RCV,2010,female
Desley,Brooks,OAKLAND - RCV,2010,female
Rebecca,Kaplan,Oakland-At Large,2016,female
Randy,Pope,OAKLEY,2010,male
Carol,Rios,OAKLEY,2010,female
Doug,Hardcastle,Oakley,2012,male
Diane,Burgis,Oakley,2012,female
Kevin,Romick,Oakley,2012,male
Randy,Pope,Oakley,2014,male
Sue,Higgins,Oakley,2014,female
Doug,Hardcastle,Oakley,2016,male
Kevin,Romick,Oakley,2016,male
Claire,Alaura,Oakley,2016,female
Sue,Higgins,Oakley,2018,female
Randy,Pope,Oakley,2018,male
George,Fuller,Oakley,2020,male
Aaron,Meadows,Oakley,2020,male
Anissa,Williams,Oakley,2020,female
Hugh,Henderson,Oakley,2022,male
Shannon,Shaw,Oakley,2022,male
Charles,Lowery,OCEANSIDE,2010,male
Gary,Felien,OCEANSIDE,2010,male
Jerome,Kern,OCEANSIDE,2010,male
Esther,Sanchez,Oceanside,2012,female
Jack,Feller,Oceanside,2012,male
Chuck,Lowery,Oceanside,2014,male
Jerome,Kern,Oceanside,2014,male
Esther,Sanchez,Oceanside,2016,female
Jack,Feller,Oceanside,2016,male
Esther,Sanchez,Oceanside,2018,female
Chris,Rodriguez,Oceanside,2018,male
Peter,Weiss,Oceanside,2020,male
Ryan,Keim,Oceanside,2020,female
Eric,Joyce,Oceanside,2022,male
Richard,Robinson,Oceanside,2022,male
Paul,Blatz,OJAI,2010,male
Carol,Smith,OJAI,2010,female
Carlon,Strobel,OJAI,2010,male
Severo,Lara,Ojai,2012,male
Betsy,Clapp,Ojai,2012,female
Paul,Blatz,Ojai,2014,male
William,Weirnick,Ojai,2014,male
Randy,Haney,Ojai,2014,male
Suza,Francina,Ojai,2016,female
Ryan,Blatz,Ojai,2018,female
Randy,Haney,Ojai,2018,male
William,Weirick,Ojai,2018,male
Suza,Francina,Ojai,2020,female
Leslie,Rule,Ojai,2022,female
